trade_id,entry_timestamp,exit_timestamp,symbol,action,quantity,entry_price,exit_price,position_value,position_pct,pnl_rupees,pnl_pct,cumulative_pnl,portfolio_value,decision_rationale,sentiment_score,rsi,macd,volume,risk_validation,gtt_order_id,trade_type,status,execution_latency_ms
TRD-0001,2025-11-03 10:07:00,2025-11-03 11:07:00,ASIANPAINT,BUY,1,3046.9,3069.75,3046.9,5.7,22.85,0.75,22.85,50022.85,"Policy announcement beneficial, sector outperforming, price action strong",0.44,59,Neutral,132% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,193
TRD-0002,2025-11-03 13:28:00,2025-11-03 15:12:00,LT,BUY,1,3524.84,3572.42,3524.84,5.4,47.59,1.35,70.44,50070.44,"Bullish momentum RSI 58, sector news positive, institutional buying detected",0.59,59,Neutral,141% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,221
TRD-0003,2025-11-04 13:38:00,2025-11-04 15:10:00,ICICIBANK,BUY,2,1155.78,1173.11,2311.55,6.8,34.67,1.5,105.11,50105.11,"H&S pattern complete, MACD crossover, relative strength improving",0.7,52,Neutral,128% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,GTT-0003,DAY,CLOSED,245
TRD-0004,2025-11-04 13:35:00,2025-11-05 14:17:00,BAJFINANCE,BUY,1,7041.72,7020.59,7041.72,5.8,-21.13,-0.3,83.99,50083.99,"Valuation attractive, upcoming catalysts, support levels intact",-0.0,42,Neutral,113% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,SWING,CLOSED,225
TRD-0005,2025-11-05 12:43:00,2025-11-05 13:13:00,INFY,BUY,1,1464.35,1484.12,1464.35,5.7,19.77,1.35,103.75,50103.75,"Oversold bounce RSI 32, sector rotation favorable, RR 3.5:1",0.66,43,Bullish,122% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,177
TRD-0006,2025-11-05 10:11:00,2025-11-06 11:23:00,HINDUNILVR,BUY,1,2440.77,2407.82,2440.77,6.3,-32.95,-1.35,70.8,50070.8,"News catalyst positive, technical setup favorable, volume supporting",-0.42,58,Neutral,160% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,SWING,CLOSED,181
TRD-0007,2025-11-05 13:48:00,2025-11-05 14:04:00,MARUTI,BUY,1,12474.06,12605.03,12474.06,7.5,130.98,1.05,201.78,50201.78,"Valuation attractive, upcoming catalysts, support levels intact",0.59,42,Neutral,155% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,218
TRD-0008,2025-11-06 11:23:00,2025-11-06 14:16:00,TCS,BUY,1,3614.93,3669.16,3614.93,9.9,54.22,1.5,256.0,50256.0,"Policy announcement beneficial, sector outperforming, price action strong",0.73,54,Bullish,163% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,167
TRD-0009,2025-11-07 14:15:00,2025-11-10 14:04:00,ICICIBANK,BUY,4,1133.41,1138.51,4533.66,9.3,20.4,0.45,276.41,50276.41,"Policy announcement beneficial, sector outperforming, price action strong",0.73,55,Neutral,175% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,SWING,CLOSED,165
TRD-0010,2025-11-07 10:16:00,2025-11-07 15:01:00,AXISBANK,BUY,4,1142.96,1137.81,4571.83,9.1,-20.57,-0.45,255.83,50255.83,"News catalyst positive, technical setup favorable, volume supporting",-0.43,59,Neutral,143% avg,Kill Switch: ON; Hard Limits: OK; Config Limits: OK; Activity: OK; Concentration: OK; Risk Mgr: APPROVED; Paper Mode: ON,N/A,DAY,CLOSED,176
